dmr_make,dmr_model,dk_vehicle_count,proposed_no_make,proposed_no_model_token,no_inspection_count,confidence,rule_fired,match_score,decision,decision_basis
TOYOTA,RAV4 Plug in,2964,TOYOTA,RAV4,83482,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 83,482 Norwegian inspections"
SKODA,KAROQ,2955,SKODA,KAROQ,2609,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,609 Norwegian inspections"
MAZDA,2,2889,MAZDA,2,6051,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 6,051 Norwegian inspections"
SKODA,RAPID,2881,SKODA,RAPID,3539,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 3,539 Norwegian inspections"
TOYOTA,Aygo X,2868,TOYOTA,AYGO,7203,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 7,203 Norwegian inspections"
BMW,X1,2862,BMW,X1,20852,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 20,852 Norwegian inspections"
VOLVO,V40,2821,VOLVO,V40,24267,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 24,267 Norwegian inspections"
TOYOTA,AVENSIS STW,2732,TOYOTA,AVENSIS,55295,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 55,295 Norwegian inspections"
NISSAN,JUKE,2719,NISSAN,JUKE,3197,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 3,197 Norwegian inspections"
OPEL,Grandland X,2675,OPEL,GRANDLAND X,2408,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,408 Norwegian inspections"
AUDI,Q2,2668,AUDI,Q2,2311,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,311 Norwegian inspections"
KIA,CEE'D SW,2612,KIA,CEED,6566,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 6,566 Norwegian inspections"
OPEL,MERIVA,2606,OPEL,MERIVA,3304,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 3,304 Norwegian inspections"
FORD,Focus,2582,FORD,FOCUS,44247,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 44,247 Norwegian inspections"
SEAT,TOLEDO,2576,SEAT,TOLEDO,66,exact,prefix_identity,1.0,n,"exact/structural match but only 66 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
CITROËN,BERLINGO,2539,CITROEN,BERLINGO,3094,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 3,094 Norwegian inspections"
MERCEDES-BENZ,C,2526,MERCEDES-BENZ,C,31181,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 31,181 Norwegian inspections"
KIA,VENGA,2486,KIA,VENGA,2046,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,046 Norwegian inspections"
SKODA,RAPID SPACEBACK,2456,SKODA,RAPID,3539,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 3,539 Norwegian inspections"
FORD,MONDEO STATIONCAR,2444,FORD,MONDEO,36399,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 36,399 Norwegian inspections"
MITSUBISHI,OUTLANDER,2387,MITSUBISHI,OUTLANDER,79708,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 79,708 Norwegian inspections"
SKODA,SCALA,2385,SKODA,SCALA,345,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 345 Norwegian inspections"
KIA,SPORTAGE,2382,KIA,SPORTAGE,13659,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 13,659 Norwegian inspections"
HONDA,CR-V,2347,HONDA,CR V,31336,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 31,336 Norwegian inspections"
KIA,Optima,2341,KIA,OPTIMA,2855,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,855 Norwegian inspections"
SKODA,SUPERB COMBI,2282,SKODA,SUPERB,22645,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 22,645 Norwegian inspections"
HYUNDAI,i30 Stc.,2253,HYUNDAI,I30,4284,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 4,284 Norwegian inspections"
FORD,NY Focus,2243,FORD,FOCUS,44247,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 44,247 Norwegian inspections"
FORD,Transit Custom Kombi,2219,FORD,TRANSIT CUSTOM,110,exact,prefix_identity,1.0,n,"exact/structural match but only 110 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
KIA,XCeed,2204,KIA,XCEED,268,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 268 Norwegian inspections"
PEUGEOT,508,2195,PEUGEOT,508,8284,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 8,284 Norwegian inspections"
AUDI,A5 SPORTBACK,2179,AUDI,A5 SPORTBACK,1449,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 1,449 Norwegian inspections"
KIA,Stonic,2134,KIA,STONIC,725,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 725 Norwegian inspections"
MERCEDES-BENZ,E,2114,MERCEDES-BENZ,E,39883,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 39,883 Norwegian inspections"
SKODA,KODIAQ,2109,SKODA,KODIAQ,10328,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 10,328 Norwegian inspections"
MITSUBISHI,ASX,2106,MITSUBISHI,ASX,16639,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 16,639 Norwegian inspections"
SUZUKI,SX4 COMBIBACK,2103,SUZUKI,SX4,17530,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 17,530 Norwegian inspections"
MINI,COOPER,2097,MINI,COOPER,9225,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 9,225 Norwegian inspections"
MITSUBISHI,COLT,2076,MITSUBISHI,COLT,6284,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 6,284 Norwegian inspections"
MERCEDES-BENZ,GLC,2052,MERCEDES-BENZ,GLC,11767,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 11,767 Norwegian inspections"
SEAT,Ibiza GP2,2032,SEAT,IBIZA,235,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 235 Norwegian inspections"
MERCEDES-BENZ,CLA,2030,MERCEDES-BENZ,CLA,5931,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 5,931 Norwegian inspections"
AUDI,A1 SPORTBACK,2002,AUDI,A1 SPORTBACK,5479,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 5,479 Norwegian inspections"
FIAT,500 C,1959,FIAT,500C,78,exact,prefix_identity,1.0,n,"exact/structural match but only 78 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
MAZDA,Mazda CX-30,1948,MAZDA,CX 30,2543,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,543 Norwegian inspections"
TOYOTA,Yaris Cross,1939,TOYOTA,YARIS CROSS,308,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 308 Norwegian inspections"
BMW,4-serie,1925,BMW,420,1016,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 1,016 Norwegian inspections"
BMW,4-serie,1925,BMW,428,124,high,family_series_sibling,1.0,n,"exact/structural match but only 124 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,4-serie,1925,BMW,430,81,high,family_series_sibling,1.0,n,"exact/structural match but only 81 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,4-serie,1925,BMW,435,61,high,family_series_sibling,1.0,n,"exact/structural match but only 61 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,4-serie,1925,BMW,440,46,high,family_series_sibling,1.0,n,"exact/structural match but only 46 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,4-serie,1925,BMW,418,9,high,family_series_sibling,1.0,n,"exact/structural match but only 9 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,4-serie,1925,BMW,425,3,high,family_series_sibling,1.0,n,"exact/structural match but only 3 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
CITROËN,C4 PICASSO,1915,CITROEN,C4 PICASSO,5036,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 5,036 Norwegian inspections"
CITROËN,DS3,1908,CITROEN,DS3,2216,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,216 Norwegian inspections"
RENAULT,SCENIC,1877,RENAULT,SCENIC,135,exact,prefix_identity,1.0,n,"exact/structural match but only 135 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
NISSAN,Qashqai J11A,1840,NISSAN,QASHQAI,33664,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 33,664 Norwegian inspections"
HYUNDAI,Ioniq,1839,HYUNDAI,IONIQ,2524,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,524 Norwegian inspections"
MERCEDES-BENZ,GLA,1831,MERCEDES-BENZ,GLA,4105,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 4,105 Norwegian inspections"
FORD,FOCUS STATIONSVOGN,1801,FORD,FOCUS,44247,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 44,247 Norwegian inspections"
FORD,PUMA,1795,FORD,PUMA,661,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 661 Norwegian inspections"
SEAT,Ateca,1775,SEAT,ATECA,187,exact,prefix_identity,1.0,n,"exact/structural match but only 187 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,2-Serie,1774,BMW,225,11273,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 11,273 Norwegian inspections"
BMW,2-Serie,1774,BMW,218,1630,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 1,630 Norwegian inspections"
BMW,2-Serie,1774,BMW,220,920,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 920 Norwegian inspections"
BMW,2-Serie,1774,BMW,216,229,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 229 Norwegian inspections"
BMW,2-Serie,1774,BMW,2002,59,high,family_series_sibling,1.0,n,"exact/structural match but only 59 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,2-Serie,1774,BMW,214,26,high,family_series_sibling,1.0,n,"exact/structural match but only 26 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,2-Serie,1774,BMW,2000,11,high,family_series_sibling,1.0,n,"exact/structural match but only 11 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,2-Serie,1774,BMW,230,8,high,family_series_sibling,1.0,n,"exact/structural match but only 8 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,2-Serie,1774,BMW,2800,8,high,family_series_sibling,1.0,n,"exact/structural match but only 8 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,2-Serie,1774,BMW,23,3,high,family_series_sibling,1.0,n,"exact/structural match but only 3 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
FORD,B-MAX,1774,FORD,B MAX,1403,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 1,403 Norwegian inspections"
BMW,X5,1767,BMW,X5,18551,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 18,551 Norwegian inspections"
CITROËN,Grand C4 SpaceTourer,1762,CITROEN,,0,no-candidate,,,,no-candidate: no Norwegian equivalent found automatically -- needs a human
AUDI,A3,1760,AUDI,A3,40962,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 40,962 Norwegian inspections"
VOLVO,V70,1756,VOLVO,V70,49444,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 49,444 Norwegian inspections"
FORD,GALAXY,1725,FORD,GALAXY,5022,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 5,022 Norwegian inspections"
FIAT,Punto S7,1690,FIAT,PUNTO,557,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 557 Norwegian inspections"
OPEL,Mokka,1686,OPEL,MOKKA,8732,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 8,732 Norwegian inspections"
RENAULT,MEGANE SPORT TOURER,1658,RENAULT,MEGANE,5169,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 5,169 Norwegian inspections"
HYUNDAI,I 10,1642,HYUNDAI,I10,2608,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,608 Norwegian inspections"
HYUNDAI,IX20,1641,HYUNDAI,IX20,3087,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 3,087 Norwegian inspections"
SUZUKI,SX4,1616,SUZUKI,SX4,17530,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 17,530 Norwegian inspections"
BMW,X3,1583,BMW,X3,24512,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 24,512 Norwegian inspections"
AUDI,A3 Limousine,1525,AUDI,A3 LIMOUSINE,790,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 790 Norwegian inspections"
NISSAN,X-TRAIL,1513,NISSAN,X TRAIL,14153,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 14,153 Norwegian inspections"
MERCEDES-BENZ,GLE,1502,MERCEDES-BENZ,GLE,3143,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 3,143 Norwegian inspections"
VOLVO,V90,1476,VOLVO,V90,15806,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 15,806 Norwegian inspections"
VOLVO,XC90,1470,VOLVO,XC90,25142,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 25,142 Norwegian inspections"
AUDI,A3 CABRIOLET,1419,AUDI,A3 CABRIOLET,326,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 326 Norwegian inspections"
HYUNDAI,I40,1400,HYUNDAI,I40,3343,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 3,343 Norwegian inspections"
OPEL,ZAFIRA,1383,OPEL,ZAFIRA,4014,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 4,014 Norwegian inspections"
VOLKSWAGEN,CALIFORNIA,1382,VOLKSWAGEN,CALIFORNIA,57,exact,prefix_identity,1.0,n,"exact/structural match but only 57 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
HYUNDAI,i10 AC3,1356,HYUNDAI,I10,2608,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,608 Norwegian inspections"
ALFA ROMEO,GIULIETTA,1350,ALFA ROMEO,GIULIETTA,294,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 294 Norwegian inspections"
VOLVO,V50,1331,VOLVO,V50,19676,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 19,676 Norwegian inspections"
OPEL,ASTRA SPORTS TOURER,1323,OPEL,ASTRA SPORTS TOURER,3543,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 3,543 Norwegian inspections"
MERCEDES-BENZ,GLB,1319,MERCEDES-BENZ,GLB,191,exact,prefix_identity,1.0,n,"exact/structural match but only 191 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
DS,DS 3,1313,DS,3,183,exact,prefix_identity,1.0,n,"exact/structural match but only 183 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
KIA,CEED SW,46,KIA,CEED,6566,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 6,566 Norwegian inspections"
